[Arguments] => mode: train, epoches: 10, batch: 8, load: None, save: first


Train[01/10]: 002/512, [>                                                 ],   0.39%, loss=6.8631, total=18.0020
Train[01/10]: 003/512, [>                                                 ],   0.59%, loss=4.6777, total=22.6797
Train[01/10]: 004/512, [>                                                 ],   0.78%, loss=3.8561, total=26.5358
Train[01/10]: 005/512, [>                                                 ],   0.98%, loss=3.6346, total=30.1704
Train[01/10]: 006/512, [>                                                 ],   1.17%, loss=3.6183, total=33.7887
Train[01/10]: 007/512, [>                                                 ],   1.37%, loss=3.3093, total=37.0980
Train[01/10]: 008/512, [>                                                 ],   1.56%, loss=2.9624, total=40.0604
Train[01/10]: 009/512, [>                                                 ],   1.76%, loss=3.0249, total=43.0854
Train[01/10]: 010/512, [>                                                 ],   1.95%, loss=2.9934, total=46.0787
Train[01/10]: 011/512, [=>                                                ],   2.15%, loss=2.8749, total=48.9536
Train[01/10]: 012/512, [=>                                                ],   2.34%, loss=2.9328, total=51.8864
Train[01/10]: 013/512, [=>                                                ],   2.54%, loss=2.8493, total=54.7356
Train[01/10]: 014/512, [=>                                                ],   2.73%, loss=2.5715, total=57.3071
Train[01/10]: 015/512, [=>                                                ],   2.93%, loss=2.7667, total=60.0739
Train[01/10]: 016/512, [=>                                                ],   3.12%, loss=2.7646, total=62.8385
Train[01/10]: 017/512, [=>                                                ],   3.32%, loss=2.6201, total=65.4586
Train[01/10]: 018/512, [=>                                                ],   3.52%, loss=2.5382, total=67.9968
Train[01/10]: 019/512, [=>                                                ],   3.71%, loss=2.5260, total=70.5227
Train[01/10]: 020/512, [=>                                                ],   3.91%, loss=2.4659, total=72.9886
Train[01/10]: 021/512, [==>                                               ],   4.10%, loss=2.4257, total=75.4143
Train[01/10]: 022/512, [==>                                               ],   4.30%, loss=2.3877, total=77.8020
Train[01/10]: 023/512, [==>                                               ],   4.49%, loss=2.4605, total=80.2625
Train[01/10]: 024/512, [==>                                               ],   4.69%, loss=2.2032, total=82.4657
Train[01/10]: 025/512, [==>                                               ],   4.88%, loss=2.1364, total=84.6021
Train[01/10]: 026/512, [==>                                               ],   5.08%, loss=2.4514, total=87.0536
Train[01/10]: 027/512, [==>                                               ],   5.27%, loss=2.3352, total=89.3888
Train[01/10]: 028/512, [==>                                               ],   5.47%, loss=2.4559, total=91.8448
Train[01/10]: 029/512, [==>                                               ],   5.66%, loss=2.1189, total=93.9637
Train[01/10]: 030/512, [==>                                               ],   5.86%, loss=2.4920, total=96.4556
Train[01/10]: 031/512, [===>                                              ],   6.05%, loss=2.3990, total=98.8547
Train[01/10]: 032/512, [===>                                              ],   6.25%, loss=2.2285, total=101.0832
Train[01/10]: 033/512, [===>                                              ],   6.45%, loss=2.1227, total=103.2059
Train[01/10]: 034/512, [===>                                              ],   6.64%, loss=2.4004, total=105.6062
Train[01/10]: 035/512, [===>                                              ],   6.84%, loss=1.9814, total=107.5876
Train[01/10]: 036/512, [===>                                              ],   7.03%, loss=2.3786, total=109.9662
Train[01/10]: 037/512, [===>                                              ],   7.23%, loss=2.1759, total=112.1421
Train[01/10]: 038/512, [===>                                              ],   7.42%, loss=2.1702, total=114.3124
Train[01/10]: 039/512, [===>                                              ],   7.62%, loss=2.0635, total=116.3759
Train[01/10]: 040/512, [===>                                              ],   7.81%, loss=2.2273, total=118.6032
Train[01/10]: 041/512, [====>                                             ],   8.01%, loss=2.1284, total=120.7316
Train[01/10]: 042/512, [====>                                             ],   8.20%, loss=2.1815, total=122.9131
Train[01/10]: 043/512, [====>                                             ],   8.40%, loss=2.2950, total=125.2081
Train[01/10]: 044/512, [====>                                             ],   8.59%, loss=2.1496, total=127.3577
Train[01/10]: 045/512, [====>                                             ],   8.79%, loss=2.1107, total=129.4684
Train[01/10]: 046/512, [====>                                             ],   8.98%, loss=2.1840, total=131.6524
Train[01/10]: 047/512, [====>                                             ],   9.18%, loss=1.9381, total=133.5906
Train[01/10]: 048/512, [====>                                             ],   9.38%, loss=1.8709, total=135.4615
Train[01/10]: 049/512, [====>                                             ],   9.57%, loss=2.0504, total=137.5119
Train[01/10]: 050/512, [====>                                             ],   9.77%, loss=2.1777, total=139.6896
Train[01/10]: 051/512, [====>                                             ],   9.96%, loss=2.1606, total=141.8502
Train[01/10]: 052/512, [=====>                                            ],  10.16%, loss=2.3176, total=144.1679
Train[01/10]: 053/512, [=====>                                            ],  10.35%, loss=2.1908, total=146.3587
Train[01/10]: 054/512, [=====>                                            ],  10.55%, loss=2.1912, total=148.5498
Train[01/10]: 055/512, [=====>                                            ],  10.74%, loss=2.3480, total=150.8978
Train[01/10]: 056/512, [=====>                                            ],  10.94%, loss=2.1281, total=153.0260
Train[01/10]: 057/512, [=====>                                            ],  11.13%, loss=1.8201, total=154.8460
Train[01/10]: 058/512, [=====>                                            ],  11.33%, loss=1.9157, total=156.7617
Train[01/10]: 059/512, [=====>                                            ],  11.52%, loss=1.6919, total=158.4537
Train[01/10]: 060/512, [=====>                                            ],  11.72%, loss=1.8304, total=160.2840
Train[01/10]: 061/512, [=====>                                            ],  11.91%, loss=1.6966, total=161.9806
Train[01/10]: 062/512, [======>                                           ],  12.11%, loss=1.9263, total=163.9069
Train[01/10]: 063/512, [======>                                           ],  12.30%, loss=1.7579, total=165.6648
Train[01/10]: 064/512, [======>                                           ],  12.50%, loss=2.0354, total=167.7002
Train[01/10]: 065/512, [======>                                           ],  12.70%, loss=2.1515, total=169.8517
Train[01/10]: 066/512, [======>                                           ],  12.89%, loss=1.8330, total=171.6848
Train[01/10]: 067/512, [======>                                           ],  13.09%, loss=1.8620, total=173.5467
Train[01/10]: 068/512, [======>                                           ],  13.28%, loss=1.9185, total=175.4653
Train[01/10]: 069/512, [======>                                           ],  13.48%, loss=1.9186, total=177.3838
Train[01/10]: 070/512, [======>                                           ],  13.67%, loss=1.6732, total=179.0570
Train[01/10]: 071/512, [======>                                           ],  13.87%, loss=1.8668, total=180.9238
Train[01/10]: 072/512, [=======>                                          ],  14.06%, loss=1.7115, total=182.6353
Train[01/10]: 073/512, [=======>                                          ],  14.26%, loss=1.6696, total=184.3048
