[Arguments] => mode: train, epoches: 20, batch: 8, load: first, save: second


Train[01/20]: 141/512, [=============>                                    ],  27.54%, loss=0.2251, total=29.0471
Train[01/20]: 142/512, [=============>                                    ],  27.73%, loss=0.2286, total=29.2757
Train[01/20]: 143/512, [=============>                                    ],  27.93%, loss=0.1847, total=29.4604
Train[01/20]: 144/512, [==============>                                   ],  28.12%, loss=0.2116, total=29.6719
Train[01/20]: 145/512, [==============>                                   ],  28.32%, loss=0.2227, total=29.8946
Train[01/20]: 146/512, [==============>                                   ],  28.52%, loss=0.2222, total=30.1168
Train[01/20]: 147/512, [==============>                                   ],  28.71%, loss=0.2191, total=30.3358
Train[01/20]: 148/512, [==============>                                   ],  28.91%, loss=0.2060, total=30.5418
Train[01/20]: 149/512, [==============>                                   ],  29.10%, loss=0.1945, total=30.7363
Train[01/20]: 150/512, [==============>                                   ],  29.30%, loss=0.1967, total=30.9330
Train[01/20]: 151/512, [==============>                                   ],  29.49%, loss=0.2308, total=31.1638
Train[01/20]: 152/512, [==============>                                   ],  29.69%, loss=0.2074, total=31.3712
Train[01/20]: 153/512, [==============>                                   ],  29.88%, loss=0.1744, total=31.5457
Train[01/20]: 154/512, [===============>                                  ],  30.08%, loss=0.1898, total=31.7354
Train[01/20]: 155/512, [===============>                                  ],  30.27%, loss=0.2009, total=31.9363
Train[01/20]: 156/512, [===============>                                  ],  30.47%, loss=0.1614, total=32.0977
Train[01/20]: 157/512, [===============>                                  ],  30.66%, loss=0.2204, total=32.3181
Train[01/20]: 158/512, [===============>                                  ],  30.86%, loss=0.2299, total=32.5480
Train[01/20]: 159/512, [===============>                                  ],  31.05%, loss=0.1935, total=32.7415
Train[01/20]: 160/512, [===============>                                  ],  31.25%, loss=0.2055, total=32.9470
Train[01/20]: 161/512, [===============>                                  ],  31.45%, loss=0.1926, total=33.1396
Train[01/20]: 162/512, [===============>                                  ],  31.64%, loss=0.2203, total=33.3600
Train[01/20]: 163/512, [===============>                                  ],  31.84%, loss=0.2312, total=33.5912
Train[01/20]: 164/512, [================>                                 ],  32.03%, loss=0.1816, total=33.7727
Train[01/20]: 165/512, [================>                                 ],  32.23%, loss=0.1960, total=33.9687
Train[01/20]: 166/512, [================>                                 ],  32.42%, loss=0.1726, total=34.1413
Train[01/20]: 167/512, [================>                                 ],  32.62%, loss=0.2393, total=34.3806
Train[01/20]: 168/512, [================>                                 ],  32.81%, loss=0.1749, total=34.5555
Train[01/20]: 169/512, [================>                                 ],  33.01%, loss=0.2223, total=34.7778
Train[01/20]: 170/512, [================>                                 ],  33.20%, loss=0.1942, total=34.9720
Train[01/20]: 171/512, [================>                                 ],  33.40%, loss=0.2111, total=35.1831
Train[01/20]: 172/512, [================>                                 ],  33.59%, loss=0.2043, total=35.3875
Train[01/20]: 173/512, [================>                                 ],  33.79%, loss=0.2053, total=35.5927
Train[01/20]: 174/512, [================>                                 ],  33.98%, loss=0.1758, total=35.7685
Train[01/20]: 175/512, [=================>                                ],  34.18%, loss=0.1993, total=35.9678
Train[01/20]: 176/512, [=================>                                ],  34.38%, loss=0.2275, total=36.1953
Train[01/20]: 177/512, [=================>                                ],  34.57%, loss=0.1879, total=36.3833
Train[01/20]: 178/512, [=================>                                ],  34.77%, loss=0.1955, total=36.5788
Train[01/20]: 179/512, [=================>                                ],  34.96%, loss=0.1908, total=36.7696
Train[01/20]: 180/512, [=================>                                ],  35.16%, loss=0.2218, total=36.9915
Train[01/20]: 181/512, [=================>                                ],  35.35%, loss=0.2021, total=37.1936
Train[01/20]: 182/512, [=================>                                ],  35.55%, loss=0.1631, total=37.3567
Train[01/20]: 183/512, [=================>                                ],  35.74%, loss=0.1929, total=37.5496
Train[01/20]: 184/512, [=================>                                ],  35.94%, loss=0.1801, total=37.7297
Train[01/20]: 185/512, [==================>                               ],  36.13%, loss=0.2021, total=37.9318
Train[01/20]: 186/512, [==================>                               ],  36.33%, loss=0.1674, total=38.0993
Train[01/20]: 187/512, [==================>                               ],  36.52%, loss=0.2024, total=38.3017
Train[01/20]: 188/512, [==================>                               ],  36.72%, loss=0.2011, total=38.5028
Train[01/20]: 189/512, [==================>                               ],  36.91%, loss=0.1623, total=38.6651
Train[01/20]: 190/512, [==================>                               ],  37.11%, loss=0.2101, total=38.8752
Train[01/20]: 191/512, [==================>                               ],  37.30%, loss=0.2158, total=39.0910
Train[01/20]: 192/512, [==================>                               ],  37.50%, loss=0.1922, total=39.2831
Train[01/20]: 193/512, [==================>                               ],  37.70%, loss=0.1963, total=39.4794
Train[01/20]: 194/512, [==================>                               ],  37.89%, loss=0.2113, total=39.6907
Train[01/20]: 195/512, [===================>                              ],  38.09%, loss=0.1823, total=39.8730
